time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,X_GYRO_LWR_raw,Y_GYRO_LWR_raw,Z_GYRO_LWR_raw,X_ACCL_LWR_raw,Y_ACCL_LWR_raw,Z_ACCL_LWR_raw
0.094020,94.020360,-0.037744,0.311324,0.045676,0.065140,-0.950990,-0.311580,-24736,204029,29934,3415202,-49859282,-16335745
0.095050,95.049780,0.013152,0.008766,0.191476,0.065992,-0.949717,-0.309499,8619,5745,125486,3459889,-49792517,-16226638
0.096030,96.030180,0.012558,-0.040013,0.094073,0.069063,-0.950220,-0.307151,8230,-26223,61652,3620874,-49818920,-16103576
0.097011,97.010580,0.011546,0.111020,0.045363,0.066852,-0.946925,-0.310955,7567,72758,29729,3504993,-49646124,-16303007
0.098040,98.040000,0.110713,-0.141231,0.190839,0.066142,-0.949524,-0.311037,72557,-92557,125068,3467732,-49782381,-16307313
0.099020,99.020400,-0.231804,-0.037581,-0.147821,0.061977,-0.948235,-0.309425,-151915,-24629,-96876,3249379,-49714833,-16222793
0.100050,100.049820,-0.085800,0.111324,-0.002692,0.064651,-0.952128,-0.309975,-56230,72957,-1764,3389585,-49918943,-16251642
0.101030,101.030220,0.203844,0.114697,-0.150745,0.068839,-0.948025,-0.306800,133591,75168,-98792,3609153,-49703788,-16085149
0.102011,102.010620,-0.036111,-0.089392,0.045697,0.066580,-0.952453,-0.308580,-23666,-58584,29948,3490693,-49935977,-16178499
0.103040,103.040040,-0.037708,-0.086710,-0.149113,0.066904,-0.949973,-0.307237,-24712,-56826,-97723,3507686,-49805937,-16108061
0.104020,104.020440,0.013170,-0.190123,0.094083,0.065255,-0.946974,-0.307758,8631,-124599,61658,3421256,-49648720,-16135398
0.105050,105.049860,0.057996,0.413535,-0.052383,0.066406,-0.951319,-0.308605,38008,271014,-34330,3481611,-49876497,-16179766
0.106030,106.030260,0.109541,-0.139633,0.093434,0.063668,-0.948685,-0.308783,71789,-91510,61233,3338034,-49738390,-16189109
0.107011,107.010660,0.107927,0.062195,-0.003983,0.067563,-0.946830,-0.308413,70731,40760,-2610,3542244,-49641178,-16169717
0.108040,108.040080,0.156419,-0.136766,-0.101700,0.067560,-0.948344,-0.303451,102511,-89631,-66650,3542064,-49720557,-15909576
0.109020,109.020480,0.011981,0.010364,0.094073,0.070092,-0.948208,-0.307348,7852,6792,61652,3674837,-49713428,-16113871
0.110050,110.049900,-0.280281,0.260538,0.047299,0.068690,-0.951398,-0.305347,-183685,170746,30998,3601356,-49880630,-16008964
0.111030,111.030300,0.009569,0.213533,-0.100749,0.069704,-0.948845,-0.308665,6271,139941,-66027,3654510,-49746822,-16182928
0.112011,112.010700,0.107927,0.062195,-0.003983,0.068913,-0.948506,-0.309773,70731,40760,-2610,3613005,-49729006,-16241017
0.113040,113.040120,-0.135423,-0.086409,-0.197166,0.063610,-0.947273,-0.308881,-88751,-56629,-129215,3334993,-49664372,-16194275
0.114021,114.020520,0.059454,0.062010,-0.003659,0.066533,-0.948723,-0.307459,38964,40639,-2398,3488238,-49740425,-16119684
0.115050,115.049940,-0.037085,-0.038602,-0.003004,0.065330,-0.951708,-0.303832,-24304,-25298,-1969,3425160,-49896932,-15929527
0.116030,116.030340,0.012390,-0.089879,0.094080,0.068752,-0.947199,-0.305602,8120,-58903,61656,3604591,-49660493,-16022339
0.117011,117.010740,-0.085159,-0.039455,0.046021,0.065929,-0.950218,-0.306377,-55810,-25857,30160,3456576,-49818809,-16062973
0.118040,118.040160,-0.135277,0.460907,0.095018,0.068999,-0.948257,-0.306248,-88655,302060,62271,3617535,-49715998,-16056232
