time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,GX_raw,GY_raw,GZ_raw,AX_raw,AY_raw,AZ_raw
0.134000,134.000000,-0.096651,-0.071554,0.061976,-0.040046,0.952784,0.299232,-0.096651,-0.071554,0.061976,-0.040046,0.952784,0.299232
0.135000,135.000000,-0.053763,-0.112091,0.034067,-0.039504,0.952526,0.298438,-0.053763,-0.112091,0.034067,-0.039504,0.952526,0.298438
0.136000,136.000000,-0.096611,-0.094874,0.060673,-0.038712,0.952920,0.299537,-0.096611,-0.094874,0.060673,-0.038712,0.952920,0.299537
0.137000,137.000000,-0.067321,-0.063932,0.099789,-0.038615,0.953391,0.300080,-0.067321,-0.063932,0.099789,-0.038615,0.953391,0.300080
0.138000,138.000000,-0.046687,0.009899,0.115707,-0.039059,0.953784,0.299657,-0.046687,0.009899,0.115707,-0.039059,0.953784,0.299657
0.139000,139.000000,0.018176,-0.006944,0.065953,-0.039448,0.953789,0.299370,0.018176,-0.006944,0.065953,-0.039448,0.953789,0.299370
0.140000,140.000000,0.007214,-0.010383,0.060678,-0.039265,0.954069,0.298743,0.007214,-0.010383,0.060678,-0.039265,0.954069,0.298743
0.141000,141.000000,-0.028466,-0.050416,0.013452,-0.039216,0.954044,0.298871,-0.028466,-0.050416,0.013452,-0.039216,0.954044,0.298871
0.142000,142.000000,0.027994,-0.107286,-0.064764,-0.038923,0.953765,0.299639,0.027994,-0.107286,-0.064764,-0.038923,0.953765,0.299639
0.143000,143.000000,-0.084837,-0.180293,-0.042860,-0.039230,0.952869,0.299367,-0.084837,-0.180293,-0.042860,-0.039230,0.952869,0.299367
0.144000,144.000000,-0.119053,-0.210882,-0.011185,-0.039583,0.951724,0.299028,-0.119053,-0.210882,-0.011185,-0.039583,0.951724,0.299028
0.145000,145.000000,-0.073483,-0.145049,0.048815,-0.039297,0.951536,0.298850,-0.073483,-0.145049,0.048815,-0.039297,0.951536,0.298850
0.146000,146.000000,-0.109994,-0.122454,0.023775,-0.038852,0.952046,0.299080,-0.109994,-0.122454,0.023775,-0.038852,0.952046,0.299080
0.147000,147.000000,-0.277807,-0.129605,0.045512,-0.038649,0.953002,0.299691,-0.277807,-0.129605,0.045512,-0.038649,0.953002,0.299691
0.148000,148.000000,-0.351701,-0.125337,0.051072,-0.038602,0.953695,0.300115,-0.351701,-0.125337,0.051072,-0.038602,0.953695,0.300115
0.149000,149.000000,-0.349200,-0.130732,0.065540,-0.038959,0.953678,0.300312,-0.349200,-0.130732,0.065540,-0.038959,0.953678,0.300312
0.150000,150.000000,-0.248623,-0.084553,0.068499,-0.039135,0.953210,0.300361,-0.248623,-0.084553,0.068499,-0.039135,0.953210,0.300361
0.151000,151.000000,-0.098024,-0.127362,0.055629,-0.038806,0.954017,0.299998,-0.098024,-0.127362,0.055629,-0.038806,0.954017,0.299998
0.152000,152.000000,0.051104,-0.078418,-0.008184,-0.038918,0.954862,0.299815,0.051104,-0.078418,-0.008184,-0.038918,0.954862,0.299815
0.153000,153.000000,0.014602,-0.001108,-0.056175,-0.039317,0.954136,0.299871,0.014602,-0.001108,-0.056175,-0.039317,0.954136,0.299871
0.154000,154.000000,-0.020825,-0.029208,-0.067349,-0.039321,0.953225,0.299884,-0.020825,-0.029208,-0.067349,-0.039321,0.953225,0.299884
0.155000,155.000000,-0.061792,0.049940,-0.056737,-0.039224,0.952726,0.299889,-0.061792,0.049940,-0.056737,-0.039224,0.952726,0.299889
0.156000,156.000000,-0.064878,0.063423,-0.027645,-0.039017,0.952794,0.299611,-0.064878,0.063423,-0.027645,-0.039017,0.952794,0.299611
0.157000,157.000000,-0.059950,-0.005953,-0.014230,-0.039148,0.954293,0.300186,-0.059950,-0.005953,-0.014230,-0.039148,0.954293,0.300186
0.158000,158.000000,0.007144,0.024126,-0.004766,-0.039084,0.955022,0.300509,0.007144,0.024126,-0.004766,-0.039084,0.955022,0.300509
0.159000,159.000000,0.062782,0.037643,-0.003039,-0.038979,0.954920,0.300405,0.062782,0.037643,-0.003039,-0.038979,0.954920,0.300405
0.160000,160.000000,-0.083133,-0.038786,0.005408,-0.039057,0.953231,0.299736,-0.083133,-0.038786,0.005408,-0.039057,0.953231,0.299736
0.161000,161.000000,-0.078421,-0.063368,0.020563,-0.038794,0.951894,0.299576,-0.078421,-0.063368,0.020563,-0.038794,0.951894,0.299576
0.162000,162.000000,-0.030873,-0.202517,0.017296,-0.038358,0.951480,0.299257,-0.030873,-0.202517,0.017296,-0.038358,0.951480,0.299257
0.163000,163.000000,0.021233,-0.149637,0.029124,-0.038345,0.951563,0.299458,0.021233,-0.149637,0.029124,-0.038345,0.951563,0.299458
0.164000,164.000000,-0.100287,-0.116361,0.019482,-0.037692,0.951680,0.299412,-0.100287,-0.116361,0.019482,-0.037692,0.951680,0.299412
0.165000,165.000000,-0.016968,-0.094966,-0.003445,-0.038282,0.951060,0.298572,-0.016968,-0.094966,-0.003445,-0.038282,0.951060,0.298572
0.166000,166.000000,-0.022838,-0.150133,-0.028669,-0.038616,0.950635,0.298461,-0.022838,-0.150133,-0.028669,-0.038616,0.950635,0.298461
0.167000,167.000000,-0.030455,-0.064180,-0.047953,-0.039068,0.950716,0.298160,-0.030455,-0.064180,-0.047953,-0.039068,0.950716,0.298160
0.168000,168.000000,-0.112250,0.029579,0.014155,-0.039635,0.951936,0.298182,-0.112250,0.029579,0.014155,-0.039635,0.951936,0.298182
0.169000,169.000000,-0.091440,0.012368,0.048962,-0.039764,0.953251,0.298924,-0.091440,0.012368,0.048962,-0.039764,0.953251,0.298924
0.170000,170.000000,0.033036,-0.077933,0.056740,-0.039603,0.954680,0.299931,0.033036,-0.077933,0.056740,-0.039603,0.954680,0.299931
0.171000,171.000000,0.215457,-0.073266,0.017880,-0.039851,0.954842,0.299715,0.215457,-0.073266,0.017880,-0.039851,0.954842,0.299715
0.172000,172.000000,0.266518,-0.032887,0.021872,-0.039358,0.954970,0.299752,0.266518,-0.032887,0.021872,-0.039358,0.954970,0.299752
0.173000,173.000000,0.144599,0.057799,0.016989,-0.038860,0.954903,0.299666,0.144599,0.057799,0.016989,-0.038860,0.954903,0.299666
0.174000,174.000000,0.076199,0.113289,-0.010552,-0.038460,0.954706,0.300106,0.076199,0.113289,-0.010552,-0.038460,0.954706,0.300106
0.175000,175.000000,0.013859,0.107024,0.023018,-0.039016,0.954848,0.300215,0.013859,0.107024,0.023018,-0.039016,0.954848,0.300215
