X_GYRO_LWR,Y_GYRO_LWR,Z_GYRO_LWR,X_ACCL_LWR,Y_ACCL_LWR,Z_ACCL_LWR,DATA_CNTR,TIME_STAMP_LWR,USB_TIMESTAMP_MS
106624,-27593,-33883,3826744,-49346905,-17047614,11568,8323,242.6227
139183,-94047,29744,4094651,-49303084,-17233852,11569,8344,242.6227
43731,68952,94205,4077671,-49226711,-17093928,11570,8364,242.6227
-83195,-94891,31228,4051870,-49180272,-17263465,11571,8384,242.6227
75123,-93409,-33666,4188279,-49113109,-17367205,11572,8405,242.6227
73664,137403,-97516,4018247,-49146040,-17352142,11573,8425,242.6227
73014,105874,-193267,4020056,-49248399,-17206390,11574,8446,242.6227
-147139,68666,63560,4057520,-49141127,-17256415,11575,8466,242.6227
-20958,-157709,-160697,3937072,-49344072,-17212488,11576,8486,242.6227
107943,-160301,61878,4091679,-49289496,-17457403,11577,8507,242.6227
-114720,100317,159099,4050924,-49450174,-17370850,11578,8527,242.6227
137709,267279,29722,4052628,-49525535,-17147981,11579,8548,259.6571
12492,2696,126339,3830861,-49401071,-17257587,11580,8568,259.6571
75379,-28592,30164,4060252,-49371789,-17353059,11581,8588,259.6571
-148318,103271,-64112,3828916,-49561482,-17245414,11582,8609,259.6571
-116021,37257,-32402,3840232,-49366431,-17404247,11583,8629,259.6571
10784,103436,-33255,3899527,-49507717,-17424559,11584,8650,259.6571
-19276,2575,126551,3954744,-49465575,-17328186,11585,8670,259.6571
-83589,-61605,-691,3950825,-49484194,-17345072,11586,8690,259.6571
-53281,169329,-64752,4082077,-49434815,-17208675,11587,8711,259.6571
74849,37543,-1815,3808779,-49261139,-17174834,11588,8731,259.6571
-82679,-30513,126919,4199383,-49283040,-17174335,11589,8752,259.6571
9999,104932,-129066,4103461,-49221085,-17373155,11590,8772,259.6571
11586,-93472,-33301,3896524,-49216866,-17194098,11591,8792,259.6571
-51306,3072,94787,3803197,-49158489,-17235357,11592,8813,259.6571
108050,68053,189476,3836646,-49528532,-17281977,11593,8833,259.6571
-114843,2830,95211,4016416,-49560629,-17080080,11594,8854,259.6571
43080,37600,-1604,3859712,-49363073,-17101085,11595,8874,259.6571
-241648,-63348,96064,4045745,-49465884,-17155224,11596,8894,276.6648
-145935,-226785,63519,3909805,-49415845,-17060266,11597,8915,276.6648
76423,-30171,157776,3760765,-49643999,-17068744,11598,8935,276.6648
11586,-93472,-33301,3965995,-49543675,-17354122,11599,8956,276.6648
-20195,36919,30738,3904755,-49529444,-17178074,11600,8976,276.6648
106878,37401,29890,4066564,-49484117,-17136915,11601,8996,276.6648
171466,-29370,125222,4013002,-49291070,-17039089,11602,9017,276.6648
202968,-28370,61173,3985421,-49290242,-17308834,11603,9037,276.6648
138909,-27733,-2237,3999998,-49329474,-17406765,11604,9058,276.6648
76162,-94548,62026,3955569,-49518931,-17310507,11605,9078,276.6648
44367,166356,189892,3919334,-49249724,-17263297,11606,9098,276.6648
-20595,70646,-33101,4045018,-49437458,-17267246,11607,9119,276.6648
170416,-27173,-34367,3897710,-48998862,-17218331,11608,9139,276.6648
11822,102297,62437,4047963,-49198884,-17296938,11609,9160,276.6648
-84634,-124485,-192253,4056681,-49233702,-17282870,11610,9180,276.6648
-148325,103890,-96090,3816951,-48950498,-17224399,11611,9200,276.6648
-84520,38435,-96510,4122667,-49384780,-17178863,11612,9221,276.6648
-115116,68966,63288,3820649,-49242712,-17255353,11613,9241,293.66
201789,6235,-66499,4017676,-49344636,-17081309,11614,9262,293.66
-19805,4072,30738,3687404,-49429629,-17294226,11615,9282,293.66
44127,-28973,62233,3910929,-49379266,-17202809,11616,9303,293.66
-19932,-28336,-1177,3886554,-49266735,-17298799,11617,9323,293.66
138909,-27910,-2237,3898844,-49245763,-17223759,11618,9343,293.66
-84667,201619,-32684,3988318,-49205971,-17342840,11619,9364,293.66
-83201,-94450,-749,3899913,-49311365,-17158351,11620,9384,293.66
-21123,136604,-65023,4030251,-49573546,-17296057,11621,9405,293.66
44248,68513,126063,4096757,-49357237,-17452129,11622,9425,293.66
-82690,35183,126913,3800272,-49392884,-17176800,11623,9445,293.66
202319,-60077,-34577,4022742,-49441587,-17178067,11624,9466,293.66
266659,-256922,-34990,3891799,-49340554,-17245914,11625,9486,293.66
-147915,-60087,-127997,3984592,-49339023,-17127070,11626,9507,293.66
43725,69392,62227,4031832,-49353037,-17185014,11627,9527,293.66
140477,-30546,189268,3963459,-49158542,-17215831,11628,9547,293.66
-19664,-94209,-1173,4001844,-49394258,-17096417,11629,9568,293.66
138775,4937,-2239,4034422,-49392067,-17177034,11630,9588,310.6616
75373,-28151,-1814,3781599,-49226545,-17197084,11631,9609,310.6616
11689,134967,62435,3952976,-49281871,-17144879,11632,9629,310.6616
138775,4937,-2239,3796134,-49228287,-17155536,11633,9649,310.6616
-147126,-126661,-64158,3984397,-49318380,-17103722,11634,9670,310.6616
-83340,3653,31162,4038299,-49173362,-16997569,11635,9690,310.6616
107670,-94165,29896,4041557,-49280503,-17059240,11636,9711,310.6616
12493,-62119,62448,4055367,-49283010,-17246041,11637,9731,310.6616
74984,-60121,-65647,3811345,-49196011,-17404031,11638,9751,310.6616
107523,69194,93721,3781939,-49420067,-17239525,11639,9772,310.6616
-51183,35744,94783,4012501,-49433349,-17134471,11640,9792,310.6616
-115390,199741,95198,3913594,-49439078,-17255495,11641,9813,310.6616
-51699,-28633,-966,4194400,-49356965,-17107241,11642,9833,310.6616
-84258,37819,-64592,4003102,-49365888,-17228940,11643,9853,310.6616
11301,102998,-1368,4055669,-49418183,-17063453,11644,9874,310.6616
74851,-27274,-65590,3960845,-49436398,-17242916,11645,9894,310.6616
170418,-27708,-34308,3869917,-49256739,-17321793,11646,9915,310.6616
-20445,-93250,-96868,3840645,-49347251,-17211331,11647,9935,327.6607
105964,6215,-129639,3912300,-49500862,-17271135,11648,9955,327.6607
-19661,-94568,-1114,4043112,-49458203,-17298657,11649,9976,327.6607
-51168,-95127,31014,3950442,-49284500,-17305058,11650,9996,327.6607
-53151,136563,-96670,3879195,-49324336,-17266723,11651,10017,327.6607
-51571,3415,31009,3903813,-49294865,-17156226,11652,10037,327.6607
43861,36186,62288,4046937,-49262492,-17229211,11653,10057,327.6607
-83473,36143,31219,4118626,-49422324,-17303623,11654,10078,327.6607
11972,-61599,-1329,4004486,-49318612,-17244831,11655,10098,327.6607
75114,-28071,-33672,3973603,-49187755,-17373776,11656,10119,327.6607
43727,69034,62286,4245474,-49233648,-17331121,11657,10139,327.6607
204525,98972,316565,3798976,-49185791,-17377006,11658,10159,327.6607
199935,268918,-98371,4192555,-49275504,-17350746,11659,10180,327.6607
-211718,4127,-63680,3976622,-49418113,-17366730,11660,10200,327.6607
139963,-96162,157416,3825005,-49488414,-17528451,11661,10221,327.6607
-53399,5609,-128576,3954913,-49323678,-17340624,11662,10241,327.6607
-52227,36261,31010,3898515,-49387864,-17254848,11663,10261,327.6607
-52093,3413,31012,4022350,-49594179,-17271518,11664,10282,343.9874
11845,-94888,30594,3884983,-49301710,-17280643,11665,10302,343.9874
-20968,-93252,-96864,3822677,-49430347,-17378324,11666,10323,343.9874
-50908,-96447,126771,3952684,-49428102,-17182489,11667,10343,343.9874
11825,100880,126335,4121472,-49552777,-16940541,11668,10363,343.9874
-243620,36854,-63470,3865353,-49340625,-17156929,11669,10384,343.9874
-20191,-29313,30802,3722439,-49237291,-17104562,11670,10404,343.9874
44792,-129372,158055,3923343,-49216433,-17142288,11671,10425,343.9874
41891,136485,-65414,3913516,-49276566,-17248985,11672,10445,343.9874
-52482,-28555,-32879,3981414,-49269346,-17184139,11673,10465,343.9874
42806,103031,30312,3972316,-49234928,-17318484,11674,10486,343.9874
107146,-93813,29899,3872834,-49297509,-17210167,11675,10506,343.9874
-115512,101549,95207,4014909,-49322492,-17209563,11676,10527,343.9874
-147274,36172,63506,3951972,-49251664,-17335786,11677,10547,343.9874
-179571,102186,31796,3974906,-49284386,-17363393,11678,10567,343.9874
43362,-224128,-65421,3896119,-49342379,-17188515,11679,10588,343.9874
12357,-29798,126285,3875068,-49482830,-17279865,11680,10608,343.9874
-84253,-27963,-32667,3994763,-49161820,-17077396,11681,10629,361.5137
9591,203211,-97152,3882728,-49297781,-17339330,11682,10649,361.5137
12230,-62206,94369,3790718,-49252608,-17024119,11683,10669,361.5137
-51842,68943,94785,3888387,-49398268,-17270253,11684,10690,361.5137
12753,-63085,158204,3807728,-49495710,-17203791,11685,10710,361.5137
